行号,session_user,解析成功,解析引擎,目标列数量,原始列,目标列,query
1,leap_mlbb_gm,否,,0,,,"with weiguiwanjia
as
(
        SELECT *
        from (
        SELECT logymd,sender,content,count(*) num,
        from ml_ods.gameserver_chat_talk_v2 ) 

 ) w 
select * from weiguiwanjia WHERE num>=50"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.ban_time,ban_time,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.role_id,role_id,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.zone_id,zone_id,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.ban_type,ban_type,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.ban_desc,ban_desc,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.params,params,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.operator,operator,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
2,leap_mlbb_gm,是,hive,8,ml_ods.gameserver_gm_ban_history.end_time,end_time,"select ban_time,role_id,zone_id,ban_type,ban_desc,params,operator,end_time 
		from ml_ods.gameserver_gm_ban_history where logymd>='2026-01-03' and logymd<='2026-07-02' and zone_id=11812 and role_id=1548607777 limit 100"
3,leap_mlbb_gm,是,hive,4,(字面量/常量),kind,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_abtest_param.param_value,tag,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
